semantic_tensor_id	source_name	source_dtype	source_shape	owning_gpu	layer_id	byte_length	status
blk.27.ffn_gate_exps.weight	blk.27.ffn_gate_exps.weight	mxfp4	[4096x2048x256]	4	27	1140850688	OK
blk.27.ffn_up_exps.weight	blk.27.ffn_up_exps.weight	mxfp4	[4096x2048x256]	4	27	1140850688	OK
blk.27.exp_probs_b	blk.27.exp_probs_b	f32	[256]	4	27	1024	OK
blk.27.ffn_gate_inp.weight	blk.27.ffn_gate_inp.weight	f32	[4096x256]	4	27	4194304	OK
blk.27.ffn_gate_shexp.weight	blk.27.ffn_gate_shexp.weight	f8_e4m3_b128	[4096x2048]	4	27	8454144	OK
blk.27.ffn_down_shexp.weight	blk.27.ffn_down_shexp.weight	f8_e4m3_b128	[2048x4096]	4	27	8454144	OK
blk.27.ffn_up_shexp.weight	blk.27.ffn_up_shexp.weight	f8_e4m3_b128	[4096x2048]	4	27	8454144	OK
blk.27.ffn_norm.weight	blk.27.ffn_norm.weight	f32	[4096]	4	27	16384	OK
blk.27.hc_attn_base	blk.27.hc_attn_base	f32	[24]	4	27	96	OK
blk.27.hc_attn_fn	blk.27.hc_attn_fn	f32	[16384x24]	4	27	1572864	OK
blk.27.hc_attn_scale	blk.27.hc_attn_scale	f32	[3]	4	27	12	OK
blk.27.hc_ffn_base	blk.27.hc_ffn_base	f32	[24]	4	27	96	OK
blk.27.hc_ffn_fn	blk.27.hc_ffn_fn	f32	[16384x24]	4	27	1572864	OK
blk.27.hc_ffn_scale	blk.27.hc_ffn_scale	f32	[3]	4	27	12	OK
blk.28.attn_sinks	blk.28.attn_sinks	f32	[64]	4	28	256	OK
blk.28.attn_compress_ape	blk.28.attn_compress_ape	f32	[1024x4]	4	28	16384	OK
blk.28.attn_compress_norm.weight	blk.28.attn_compress_norm.weight	f32	[512]	4	28	2048	OK
blk.28.attn_compress_gate.weight	blk.28.attn_compress_gate.weight	bf16	[4096x1024]	4	28	8388608	OK
blk.28.attn_compress_kv.weight	blk.28.attn_compress_kv.weight	bf16	[4096x1024]	4	28	8388608	OK
blk.28.indexer.compress_ape	blk.28.indexer.compress_ape	f32	[256x4]	4	28	4096	OK
