name	layer	gpu	family	dims	elements	ggml_type_id	ggml_type	bytes
blk.29.attn_compress_ape	29	4	compressor	[512x128]	65536	0	f32	262144
blk.29.attn_compress_norm.weight	29	4	compressor	[512]	512	0	f32	2048
blk.29.attn_compress_gate.weight	29	4	compressor	[4096x512]	2097152	30	bf16	4194304
blk.29.attn_compress_kv.weight	29	4	compressor	[4096x512]	2097152	30	bf16	4194304
blk.29.attn_kv_a_norm.weight	29	4	attention	[512]	512	0	f32	2048
blk.29.attn_q_a_norm.weight	29	4	attention	[1024]	1024	0	f32	4096
blk.29.attn_kv_latent.weight	29	4	attention	[4096x512]	2097152	42	f8_e4m3_b128	2113536
blk.29.attn_output_a.weight	29	4	attention	[4096x8192]	33554432	42	f8_e4m3_b128	33816576
blk.29.attn_output_b.weight	29	4	attention	[8192x4096]	33554432	42	f8_e4m3_b128	33816576
blk.29.attn_q_a.weight	29	4	attention	[4096x1024]	4194304	42	f8_e4m3_b128	4227072
blk.29.attn_q_b.weight	29	4	attention	[1024x32768]	33554432	42	f8_e4m3_b128	33816576
blk.29.attn_norm.weight	29	4	attention	[4096]	4096	0	f32	16384
blk.29.ffn_down_exps.weight	29	4	routed_expert	[2048x4096x256]	2147483648	39	mxfp4	1140850688
blk.29.ffn_gate_exps.weight	29	4	routed_expert	[4096x2048x256]	2147483648	39	mxfp4	1140850688
blk.29.ffn_up_exps.weight	29	4	routed_expert	[4096x2048x256]	2147483648	39	mxfp4	1140850688
blk.29.exp_probs_b	29	4	router	[256]	256	0	f32	1024
blk.29.ffn_gate_inp.weight	29	4	router	[4096x256]	1048576	0	f32	4194304
blk.29.ffn_gate_shexp.weight	29	4	shared_expert	[4096x2048]	8388608	42	f8_e4m3_b128	8454144
blk.29.ffn_down_shexp.weight	29	4	shared_expert	[2048x4096]	8388608	42	f8_e4m3_b128	8454144
blk.29.ffn_up_shexp.weight	29	4	shared_expert	[4096x2048]	8388608	42	f8_e4m3_b128	8454144
blk.29.ffn_norm.weight	29	4	control	[4096]	4096	0	f32	16384
blk.29.hc_attn_base	29	4	hc	[24]	24	0	f32	96
blk.29.hc_attn_fn	29	4	hc	[16384x24]	393216	0	f32	1572864
blk.29.hc_attn_scale	29	4	hc	[3]	3	0	f32	12
blk.29.hc_ffn_base	29	4	hc	[24]	24	0	f32	96
blk.29.hc_ffn_fn	29	4	hc	[16384x24]	393216	0	f32	1572864
blk.29.hc_ffn_scale	29	4	hc	[3]	3	0	f32	12
blk.30.attn_sinks	30	5	attention	[64]	64	0	f32	256
blk.30.attn_compress_ape	30	5	compressor	[1024x4]	4096	0	f32	16384
blk.30.attn_compress_norm.weight	30	5	compressor	[512]	512	0	f32	2048
blk.30.attn_compress_gate.weight	30	5	compressor	[4096x1024]	4194304	30	bf16	8388608
blk.30.attn_compress_kv.weight	30	5	compressor	[4096x1024]	4194304	30	bf16	8388608
blk.30.indexer.compress_ape	30	5	indexer	[256x4]	1024	0	f32	4096
blk.30.indexer.compress_norm.weight	30	5	indexer	[128]	128	0	f32	512
blk.30.indexer.compress_gate.weight	30	5	indexer	[4096x256]	1048576	30	bf16	2097152
blk.30.indexer.compress_kv.weight	30	5	indexer	[4096x256]	1048576	30	bf16	2097152
