timestamp,index,utilization.gpu [%],memory.used [MiB],memory.free [MiB]
2026/05/23 06:29:18.341, 2, 0, 20890, 11605
2026/05/23 06:29:18.341, 3, 3, 20812, 11683
2026/05/23 06:29:18.342, 4, 3, 20812, 11683
2026/05/23 06:29:18.342, 5, 0, 17470, 15025
2026/05/23 06:29:18.343, 6, 4, 17386, 15109
2026/05/23 06:29:18.343, 7, 0, 11620, 20875
2026/05/23 06:29:19.447, 0, 3, 21794, 10701
2026/05/23 06:29:19.447, 1, 4, 20812, 11683
2026/05/23 06:29:19.448, 2, 0, 20890, 11605
2026/05/23 06:29:19.448, 3, 3, 20890, 11605
2026/05/23 06:29:19.448, 4, 4, 20812, 11683
2026/05/23 06:29:19.448, 5, 0, 17470, 15025
2026/05/23 06:29:19.449, 6, 3, 17386, 15109
2026/05/23 06:29:19.449, 7, 0, 11620, 20875
2026/05/23 06:29:20.548, 0, 4, 21794, 10701
2026/05/23 06:29:20.548, 1, 5, 20812, 11683
2026/05/23 06:29:20.549, 2, 0, 20890, 11605
2026/05/23 06:29:20.549, 3, 0, 20890, 11605
2026/05/23 06:29:20.549, 4, 4, 20812, 11683
2026/05/23 06:29:20.550, 5, 0, 17470, 15025
2026/05/23 06:29:20.550, 6, 4, 17386, 15109
2026/05/23 06:29:20.551, 7, 0, 11620, 20875
2026/05/23 06:29:21.654, 0, 4, 21794, 10701
2026/05/23 06:29:21.655, 1, 4, 20812, 11683
2026/05/23 06:29:21.655, 2, 0, 20890, 11605
2026/05/23 06:29:21.655, 3, 0, 20890, 11605
2026/05/23 06:29:21.656, 4, 4, 20812, 11683
2026/05/23 06:29:21.656, 5, 0, 17470, 15025
2026/05/23 06:29:21.657, 6, 4, 17386, 15109
2026/05/23 06:29:21.657, 7, 0, 11620, 20875
2026/05/23 06:29:22.756, 0, 6, 21794, 10701
2026/05/23 06:29:22.757, 1, 5, 20812, 11683
2026/05/23 06:29:22.757, 2, 0, 20890, 11605
2026/05/23 06:29:22.758, 3, 0, 20890, 11605
2026/05/23 06:29:22.758, 4, 8, 20812, 11683
2026/05/23 06:29:22.759, 5, 0, 17470, 15025
2026/05/23 06:29:22.759, 6, 17, 17386, 15109
2026/05/23 06:29:22.759, 7, 0, 11620, 20875
2026/05/23 06:29:23.880, 0, 4, 21794, 10701
2026/05/23 06:29:23.881, 1, 4, 20812, 11683
2026/05/23 06:29:23.881, 2, 0, 20890, 11605
2026/05/23 06:29:23.882, 3, 0, 20890, 11605
2026/05/23 06:29:23.882, 4, 4, 20812, 11683
2026/05/23 06:29:23.883, 5, 0, 17470, 15025
2026/05/23 06:29:23.884, 6, 6, 17386, 15109
2026/05/23 06:29:23.884, 7, 0, 11620, 20875
2026/05/23 06:29:24.983, 0, 4, 21794, 10701
2026/05/23 06:29:24.984, 1, 3, 20812, 11683
2026/05/23 06:29:24.984, 2, 0, 20890, 11605
2026/05/23 06:29:24.985, 3, 0, 20890, 11605
2026/05/23 06:29:24.985, 4, 4, 20812, 11683
2026/05/23 06:29:24.986, 5, 0, 17470, 15025
2026/05/23 06:29:24.986, 6, 4, 17386, 15109
2026/05/23 06:29:24.987, 7, 0, 11620, 20875
2026/05/23 06:29:26.073, 0, 4, 21794, 10701
2026/05/23 06:29:26.074, 1, 4, 20812, 11683
2026/05/23 06:29:26.074, 2, 0, 20890, 11605
2026/05/23 06:29:26.074, 3, 0, 20890, 11605
2026/05/23 06:29:26.075, 4, 3, 20812, 11683
2026/05/23 06:29:26.075, 5, 0, 17470, 15025
2026/05/23 06:29:26.075, 6, 4, 17386, 15109
2026/05/23 06:29:26.075, 7, 0, 11620, 20875
2026/05/23 06:29:27.161, 0, 3, 21794, 10701
2026/05/23 06:29:27.162, 1, 3, 20812, 11683
2026/05/23 06:29:27.162, 2, 0, 20890, 11605
2026/05/23 06:29:27.162, 3, 0, 20890, 11605
2026/05/23 06:29:27.163, 4, 3, 20812, 11683
2026/05/23 06:29:27.163, 5, 0, 17470, 15025
2026/05/23 06:29:27.163, 6, 3, 17386, 15109
2026/05/23 06:29:27.163, 7, 0, 11620, 20875
2026/05/23 06:29:28.261, 0, 3, 21794, 10701
2026/05/23 06:29:28.261, 1, 3, 20812, 11683
2026/05/23 06:29:28.262, 2, 0, 20890, 11605
2026/05/23 06:29:28.262, 3, 0, 20890, 11605
2026/05/23 06:29:28.262, 4, 3, 20812, 11683
2026/05/23 06:29:28.262, 5, 0, 17470, 15025
2026/05/23 06:29:28.263, 6, 3, 17386, 15109
2026/05/23 06:29:28.263, 7, 0, 11620, 20875
2026/05/23 06:29:29.385, 0, 4, 21794, 10701
2026/05/23 06:29:29.385, 1, 13, 20890, 11605
2026/05/23 06:29:29.385, 2, 0, 20890, 11605
2026/05/23 06:29:29.386, 3, 0, 20890, 11605
2026/05/23 06:29:29.386, 4, 3, 20812, 11683
2026/05/23 06:29:29.386, 5, 0, 17470, 15025
2026/05/23 06:29:29.386, 6, 5, 17386, 15109
2026/05/23 06:29:29.387, 7, 0, 11620, 20875
2026/05/23 06:29:30.511, 0, 4, 21794, 10701
2026/05/23 06:29:30.512, 1, 0, 20890, 11605
2026/05/23 06:29:30.512, 2, 0, 20890, 11605
2026/05/23 06:29:30.512, 3, 0, 20890, 11605
2026/05/23 06:29:30.512, 4, 4, 20812, 11683
2026/05/23 06:29:30.513, 5, 0, 17470, 15025
2026/05/23 06:29:30.513, 6, 1, 17456, 15039
2026/05/23 06:29:30.513, 7, 0, 11620, 20875
2026/05/23 06:29:31.603, 0, 4, 21794, 10701
2026/05/23 06:29:31.603, 1, 0, 20890, 11605
2026/05/23 06:29:31.604, 2, 0, 20890, 11605
2026/05/23 06:29:31.604, 3, 0, 20890, 11605
2026/05/23 06:29:31.604, 4, 4, 20812, 11683
2026/05/23 06:29:31.605, 5, 0, 17470, 15025
2026/05/23 06:29:31.605, 6, 0, 17456, 15039
2026/05/23 06:29:31.605, 7, 0, 11620, 20875
2026/05/23 06:29:32.702, 0, 0, 21858, 10637
2026/05/23 06:29:32.702, 1, 0, 20890, 11605
2026/05/23 06:29:32.703, 2, 0, 20890, 11605
2026/05/23 06:29:32.703, 3, 0, 20890, 11605
2026/05/23 06:29:32.703, 4, 5, 20812, 11683
2026/05/23 06:29:32.703, 5, 0, 17470, 15025
2026/05/23 06:29:32.704, 6, 0, 17456, 15039
2026/05/23 06:29:32.704, 7, 0, 11620, 20875
2026/05/23 06:29:33.800, 0, 0, 21858, 10637
2026/05/23 06:29:33.800, 1, 0, 20890, 11605
2026/05/23 06:29:33.801, 2, 0, 20890, 11605
2026/05/23 06:29:33.801, 3, 0, 20890, 11605
2026/05/23 06:29:33.801, 4, 5, 20812, 11683
2026/05/23 06:29:33.801, 5, 0, 17470, 15025
2026/05/23 06:29:33.802, 6, 0, 17456, 15039
2026/05/23 06:29:33.802, 7, 0, 11620, 20875
2026/05/23 06:29:34.907, 0, 0, 21858, 10637
2026/05/23 06:29:34.907, 1, 0, 20890, 11605
2026/05/23 06:29:34.907, 2, 0, 20890, 11605
2026/05/23 06:29:34.907, 3, 0, 20890, 11605
2026/05/23 06:29:34.908, 4, 3, 20812, 11683
2026/05/23 06:29:34.908, 5, 0, 17470, 15025
2026/05/23 06:29:34.908, 6, 0, 17456, 15039
2026/05/23 06:29:34.908, 7, 0, 11620, 20875
2026/05/23 06:29:36.005, 0, 0, 21858, 10637
2026/05/23 06:29:36.005, 1, 0, 20890, 11605
2026/05/23 06:29:36.005, 2, 0, 20890, 11605
2026/05/23 06:29:36.006, 3, 0, 20890, 11605
2026/05/23 06:29:36.006, 4, 0, 20890, 11605
2026/05/23 06:29:36.006, 5, 0, 17470, 15025
2026/05/23 06:29:36.006, 6, 0, 17456, 15039
2026/05/23 06:29:36.007, 7, 0, 11620, 20875
2026/05/23 06:29:37.114, 0, 49, 24076, 8419
2026/05/23 06:29:37.115, 1, 4, 23110, 9385
2026/05/23 06:29:37.115, 2, 0, 22838, 9657
2026/05/23 06:29:37.115, 3, 0, 20892, 11603
2026/05/23 06:29:37.116, 4, 0, 20892, 11603
2026/05/23 06:29:37.116, 5, 0, 17472, 15023
2026/05/23 06:29:37.116, 6, 0, 17458, 15037
2026/05/23 06:29:37.117, 7, 0, 11622, 20873
2026/05/23 06:29:38.245, 0, 66, 24076, 8419
2026/05/23 06:29:38.245, 1, 59, 23110, 9385
2026/05/23 06:29:38.246, 2, 58, 23110, 9385
2026/05/23 06:29:38.246, 3, 44, 23110, 9385
2026/05/23 06:29:38.246, 4, 47, 23110, 9385
2026/05/23 06:29:38.246, 5, 51, 19688, 12807
2026/05/23 06:29:38.247, 6, 50, 19676, 12819
2026/05/23 06:29:38.247, 7, 35, 13840, 18655
2026/05/23 06:29:39.380, 0, 58, 24076, 8419
2026/05/23 06:29:39.380, 1, 56, 23110, 9385
2026/05/23 06:29:39.381, 2, 50, 23110, 9385
2026/05/23 06:29:39.381, 3, 60, 23110, 9385
2026/05/23 06:29:39.381, 4, 60, 23110, 9385
2026/05/23 06:29:39.382, 5, 45, 19688, 12807
2026/05/23 06:29:39.382, 6, 44, 19676, 12819
2026/05/23 06:29:39.383, 7, 32, 13840, 18655
2026/05/23 06:29:40.481, 0, 67, 24076, 8419
2026/05/23 06:29:40.481, 1, 60, 23110, 9385
2026/05/23 06:29:40.481, 2, 59, 23110, 9385
2026/05/23 06:29:40.482, 3, 58, 23110, 9385
2026/05/23 06:29:40.482, 4, 56, 23110, 9385
2026/05/23 06:29:40.482, 5, 48, 19688, 12807
2026/05/23 06:29:40.482, 6, 50, 19676, 12819
2026/05/23 06:29:40.483, 7, 31, 13840, 18655
2026/05/23 06:29:41.556, 0, 0, 24076, 8419
2026/05/23 06:29:41.556, 1, 0, 23110, 9385
2026/05/23 06:29:41.556, 2, 0, 23110, 9385
2026/05/23 06:29:41.557, 3, 0, 23110, 9385
2026/05/23 06:29:41.557, 4, 0, 23110, 9385
2026/05/23 06:29:41.557, 5, 0, 19688, 12807
