==106277== NVPROF is profiling process 106277, command: ./tools/ds4-v100-tp-ep-full-layer-smoke --pack-dir /workspace/packs/ds4-appliance-full-tm-gated-s181 --contract /workspace/logs/sprint245-tp-ep-dense-f16-cache-contract/contract/tp-ep-pack-contract.tsv --tm-index /workspace/packs/ds4-appliance-full-tm-gat
==106277== Profiling application: ./tools/ds4-v100-tp-ep-full-layer-smoke --pack-dir /workspace/packs/ds4-appliance-full-tm-gated-s181 --contract /workspace/logs/sprint245-tp-ep-dense-f16-cache-contract/contract/tp-ep-pack-contract.tsv --tm-index /workspace/packs/ds4-appliance-full-tm-gat
==106277== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Src Dev","Src Ctx","Dst Dev","Dst Ctx","Name","Correlation_ID"
s,ms,,,,,,,,KB,KB,MB,GB/s,,,,,,,,,,,
141.580390,0.001760,,,,,,,,,,0.002930,1.625581,"Device","Device","Tesla V100-SXM2-32GB (0)","1","10","Tesla V100-SXM2-32GB (0)","1","Tesla V100-SXM2-32GB (7)","8","[CUDA memcpy PtoP]",9915
141.580401,0.002304,64,1,1,256,1,1,18,0.000000,0.000000,,,,,"Tesla V100-SXM2-32GB (7)","8","195",,,,,"_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::hc_weighted_sum_shard_kernel(float*, float const *, float const *, unsigned int, int)",9916
141.580801,0.052704,,,,,,,,,,0.500000,9.264596,"Device","Device","Tesla V100-SXM2-32GB (0)","1","10","Tesla V100-SXM2-32GB (0)","1","Tesla V100-SXM2-32GB (7)","8","[CUDA memcpy PtoP]",9993
141.580869,0.004417,1024,1,1,256,1,1,18,0.000000,0.000000,,,,,"Tesla V100-SXM2-32GB (7)","8","195",,,,,"_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::fill_dense_input_half_from_current_kernel(__half*, float const *, unsigned int, unsigned int)",9994
141.580875,0.002177,256,1,1,256,1,1,18,0.000000,0.000000,,,,,"Tesla V100-SXM2-32GB (7)","8","195",,,,,"_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::fill_dense_input_half_from_current_kernel(__half*, float const *, unsigned int, unsigned int)",9995
141.580878,0.003071,384,1,1,256,1,1,16,0.000000,0.000000,,,,,"Tesla V100-SXM2-32GB (7)","8","195",,,,,"_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::pack_current_full_to_routes_kernel(__half*, float const *, int const *, int)",9996
141.581145,0.050143,,,,,,,,,,0.500000,9.737775,"Device","Device","Tesla V100-SXM2-32GB (0)","1","10","Tesla V100-SXM2-32GB (0)","1","Tesla V100-SXM2-32GB (7)","8","[CUDA memcpy PtoP]",10054
141.581212,0.002688,512,1,1,256,1,1,18,0.000000,0.000000,,,,,"Tesla V100-SXM2-32GB (7)","8","195",,,,,"_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::fill_dense_input_half_from_current_kernel(__half*, float const *, unsigned int, unsigned int)",10055
141.581216,0.002688,512,1,1,256,1,1,18,0.000000,0.000000,,,,,"Tesla V100-SXM2-32GB (7)","8","195",,,,,"_GLOBAL__N__37e05b2b_34_ds4_v100_tp_ep_full_layer_smoke_cu_main::fill_dense_input_half_from_current_kernel(__half*, float const *, unsigned int, unsigned int)",10056
141.581418,0.007296,4,1,16,128,1,1,96,0.000000,17.000000,,,,,"Tesla V100-SXM2-32GB (7)","8","196",,,,,"void cutlass::Kernel<cutlass_70_wmma_tensorop_s161616gemm_f16_32x32_64x2_tn_align8>(cutlass_70_wmma_tensorop_s161616gemm_f16_32x32_64x2_tn_align8Params)",10192
