== NVLink adjacency (per GPU) ==
GPU0: 1(NV1), 2(NV1), 3(NV2), 4(NV2)
GPU1: 0(NV1), 2(NV2), 3(NV1), 5(NV2)
GPU2: 0(NV1), 1(NV2), 3(NV2), 6(NV1)
GPU3: 0(NV2), 1(NV1), 2(NV2), 7(NV1)
GPU4: 0(NV2), 5(NV1), 6(NV1), 7(NV2)
GPU5: 1(NV2), 4(NV1), 6(NV2), 7(NV1)
GPU6: 2(NV1), 4(NV1), 5(NV2), 7(NV2)
GPU7: 3(NV1), 4(NV2), 5(NV1), 6(NV2)

== Non-NVLink undirected pairs (12 of 28) ==
(0,5) [SYS]: one-hop NVLink relays via 1(NV1+NV2), 4(NV2+NV1)
(0,6) [SYS]: one-hop NVLink relays via 2(NV1+NV1), 4(NV2+NV1)
(0,7) [SYS]: one-hop NVLink relays via 3(NV2+NV1), 4(NV2+NV2)
(1,4) [SYS]: one-hop NVLink relays via 0(NV1+NV2), 5(NV2+NV1)
(1,6) [SYS]: one-hop NVLink relays via 2(NV2+NV1), 5(NV2+NV2)
(1,7) [SYS]: one-hop NVLink relays via 3(NV1+NV1), 5(NV2+NV1)
(2,4) [SYS]: one-hop NVLink relays via 0(NV1+NV2), 6(NV1+NV1)
(2,5) [SYS]: one-hop NVLink relays via 1(NV2+NV2), 6(NV1+NV2)
(2,7) [SYS]: one-hop NVLink relays via 3(NV2+NV1), 6(NV1+NV2)
(3,4) [SYS]: one-hop NVLink relays via 0(NV2+NV2), 7(NV1+NV2)
(3,5) [SYS]: one-hop NVLink relays via 1(NV1+NV2), 7(NV1+NV1)
(3,6) [SYS]: one-hop NVLink relays via 2(NV2+NV1), 7(NV1+NV2)

== Per-pair microbench (dst-side UVA remote load) ==

-- payload 8 KiB --
dst	src	class	burst_us	burst_GBps	iso_us	iso_GBps
2	3	NV2	16.30	32.16	19.00	27.59
2	4	SYS	58.78	8.92	61.43	8.54
2	5	SYS	58.83	8.91	61.36	8.54
2	6	NV1	27.72	18.92	30.77	17.04
2	7	SYS	59.85	8.76	62.49	8.39
3	0	NV2	16.38	32.00	18.96	27.65
3	1	NV1	27.75	18.89	30.39	17.25
3	2	NV2	16.37	32.02	19.19	27.32
3	3	self	3.01	174.19	5.65	92.81
3	4	SYS	58.48	8.97	61.60	8.51
3	5	SYS	58.52	8.96	61.16	8.57
3	6	SYS	59.75	8.78	62.59	8.38
3	7	NV1	27.75	18.89	30.41	17.24
4	0	NV2	16.46	31.85	19.13	27.41
4	1	SYS	58.65	8.94	61.59	8.51
4	2	SYS	62.32	8.41	65.16	8.05
4	3	SYS	62.43	8.40	65.04	8.06
4	4	self	3.04	172.65	5.77	90.86
4	5	NV1	27.87	18.81	30.59	17.14
4	6	NV1	27.87	18.81	30.61	17.13
4	7	NV2	16.46	31.84	19.20	27.31
5	0	SYS	58.77	8.92	61.59	8.51
5	1	NV2	16.39	31.98	19.27	27.21
5	2	SYS	62.34	8.41	65.05	8.06
5	3	SYS	62.55	8.38	65.44	8.01
5	4	NV1	27.88	18.80	30.65	17.11
5	5	self	3.17	165.37	5.80	90.35
5	6	NV2	16.48	31.81	19.23	27.26
5	7	NV1	27.90	18.80	30.66	17.10
6	0	SYS	58.71	8.93	61.45	8.53
6	1	SYS	58.69	8.93	61.36	8.54
6	2	NV1	27.87	18.81	30.57	17.15
6	3	SYS	62.47	8.39	65.18	8.04
6	4	NV1	27.87	18.81	30.58	17.14
6	5	NV2	16.43	31.92	19.16	27.36
6	6	self	3.07	170.88	5.77	90.90
6	7	NV2	16.43	31.92	19.16	27.37
7	0	SYS	62.05	8.45	64.97	8.07
7	1	SYS	62.09	8.44	65.05	8.06
7	2	SYS	62.39	8.40	65.31	8.03
7	3	NV1	27.93	18.77	30.72	17.06
7	4	NV2	16.43	31.91	19.22	27.28
7	5	NV1	27.93	18.77	30.71	17.07
7	6	NV2	16.42	31.92	19.23	27.27
7	7	self	3.10	169.35	5.85	89.69
class summary (burst): NV1: n=16 us[27.70-27.93] GBps[18.77-18.92]; NV2: n=16 us[16.30-16.48] GBps[31.81-32.16]; SYS: n=24 us[58.48-62.55] GBps[8.38-8.97]; self: n=8 us[3.01-3.17] GBps[165.37-174.19]

== Promoted EP-return cost model (384 KiB per pair, 56 copies/layer) ==
dst	n_sys_srcs	sum_nv_us	sum_sys_us	serial_total_us
0	3	71.3	140.3	211.6
1	3	71.1	140.2	211.3
2	3	71.3	138.3	209.5
3	3	70.9	138.0	209.0
4	3	71.3	143.2	214.5
5	3	71.8	143.6	215.5
6	3	71.2	140.4	211.6
7	3	71.6	144.3	215.9
directed SYS pairs: 24/56; mean per-copy us: NV=17.83 SYS=47.01
per-layer EP-return critical path (worst dst, serial on dst stream): 215.9 us; per step (x43 layers): 9.28 ms
naive SYS excess per layer per dst-avg: 87.6 us -> per step: 3.76 ms (avg dst)
